연번,시군명,시설명,주소
299,창원시,사파정경로당,성산구 동산로 176번길 52 (사파동)
300,창원시,사파경로당,성산구 창이대로 684번길 30 (사파동)
301,창원시,사파신덕경로당,성산구 창이대로 639번길 11 (사파동)
302,창원시,사파제2경로당,성산구 창이대로 719번길 8-15 (사파동)
303,창원시,사파대동(아)제1경로당,성산구 신사로 106 (사파동)
304,창원시,사파대동(아)제2경로당,성산구 신사로 106 (사파동)
305,창원시,삼익아파트경로당,성산구 원이대로 773번길 13 (사파동)
306,창원시,무궁화(아)경로당,성산구 동산로 148 (사파동)
307,창원시,사파동성(아)경로당,성산구 창이대로 737 (사파동)
308,창원시,성원남산(아)경로당,성산구 대암로 126 (대방동)
309,창원시,대방성원3차(아)경로당,성산구 대암로 82 (대방동)
310,창원시,대방대동(아)경로당,성산구 대정로 14 2(대방동)
311,창원시,대방개나리1차(아)경로당,성산구 대정로 149 (대방동)
312,창원시,대방덕산1차(아)경로당,성산구 대정로 131 (대방동)
313,창원시,대방덕산2차(아)경로당,성산구 대암로 272 (대방동)
314,창원시,대방그린빌(아)경로당,성산구 대암로 256 (대방동)
315,창원시,대방동성(아)경로당,성산구 대암로 282 (대방동)
316,창원시,대방대동디지털(아)경로당,성산구 창이대로 881번길 8 (대방동)
317,창원시,대방대동황토방아파트경로당,성산구 창이대로 881번길 19 (대방동)
318,창원시,가음정경로당,성산구 가음정로 11번길 6-7 (가음동)
319,창원시,창원더샵센트럴파크경로당,성산구 원이대로863번길 19 (가음동)
320,창원시,은아(아)경로당,성산구 원이대로883번길 6 (가음동)
321,창원시,소라(아)경로당,성산구 성산패총로178번길 51 (가음동)
322,창원시,우성(아)경로당,성산구 대암로 22 (남양동)
323,창원시,롯데(아)경로당,성산구 대암로 56 (남양동)
324,창원시,동성아파트경로당,성산구 대암로 60 (남양동)
325,창원시,성원1차(아)경로당,성산구 대정로 73 (남양동)
326,창원시,성원2차(아)경로당,성산구 대정로 99 (남양동)
327,창원시,피오르빌(아)경로당,성산구 대정로 84 (남양동)
328,창원시,대방경로당,성산구 가음로57번길 16-21 (남양동)
329,창원시,음지경로당,성산구 가음로57번길 16-21 (남양동)
330,창원시,가음동경로당,성산구 가양로52번길 27 (가음동)
331,창원시,개나리3차(아)경로당,성산구 대정로 100 (남양동)
332,창원시,한림(아)경로당,성산구 대암로 8 (남양동)
333,창원시,위드파크아파트경로당,성산구 가양로 99 (남양동)
334,창원시,남산경로당,성산구 가음로101번길 6-8 (남양동)
335,창원시,가음꿈에그린아파트경로당,성산구 원이대로878번길 9 (가음동)
336,창원시,창원센텀푸르지오경로당,성산구 가음정로 59 (가음동)
337,창원시,성남경로당,성산구가음로64번길 8 (가음동)
338,창원시,서광파크빌(아)경로당,성산구 안민안길 50 (천선동)
339,창원시,안민경로당,성산구 안민로117번길 17 (안민동)
340,창원시,한솔(아)경로당,성산구 안민로 161 (안민동)
341,창원시,청솔(아)경로당,성산구 안민로101번길 29 (안민동)
342,창원시,신우에이스타운경로당,성산구 안민안길 8 (안민동)
343,창원시,한양아파트경로당,성산구 정동로162번길 69 (남산동)
344,창원시,대우(아)경로당,성산구 정동로162번길 31 (남산동)
345,창원시,한림푸르지오(아)경로당,성산구 외리로34번길 13 (성주동)
346,창원시,유니온빌리지(아)경로당,성산구 삼정자로 79 (성주동)
347,창원시,프리빌리지경로당,성산구 대암로 253 (성주동)
348,창원시,프리빌리지2차경로당,성산구 창원대로1209번길 22 (성주동)
349,창원시,삼정자경로당,성산구 삼정자로51번길15 (성주동)
350,창원시,불모산경로당,성산구 불모산로66번길 11 (성주동)
351,창원시,양곡경로당,성산구 양곡길106번길 1-12 (양곡동)
352,창원시,동성1차경로당,성산구 신촌로 95 (신촌동)
353,창원시,동성2차경로당,성산구 신촌로 63 (신촌동)
354,창원시,동성빌라2차경로당,성산구 신촌로 43 (신촌동)
355,창원시,성원아파트경로당,성산구 신촌로 123 (신촌동)
356,창원시,귀산경로당,성산구 귀산로58번길 14 (귀산동)
357,창원시,석교경로당,성산구 삼귀로466번길 8 (귀산동)
358,창원시,갯마을경로당,성산구 삼귀로 375-11 (귀산동)
359,창원시,용호마을경로당,성산구 삼귀로 185-9 (귀곡동)
360,창원시,동부산아이존빌경로당,성산구 신촌로 94 (신촌동)
361,창원시,신촌경로당,성산구 양곡길 53 (신촌동)
362,창원시,신촌동원로얄듀크1차아파트경로당,성산구 신촌로 130 (신촌동)
