연번,시군명,시설명,주소,분회명,회원수,운영형태
1201,진주시,사동경로당,진주시 사군로103번길 26-4 ,사봉면,13,남여혼합
1202,진주시,봉대경로당,진주시 사군로243번길 5-4 ,사봉면,41,남여혼합
1203,진주시,거곡경로당,진주시 지수로98번길 12-5 ,사봉면,37,남여혼합
1204,진주시,초문경로당,진주시 사군로361번길 75 ,사봉면,20,남여혼합
1205,진주시,모곡경로당,진주시 모곡길 37 ,이반성,25,남여혼합
1206,진주시,저동경로당,진주시 공치고개길228번길 27 ,사봉면,22,남여혼합
1207,진주시,부동경로당,진주시 부계길 100 ,문산읍,67,남여혼합
1208,진주시,오동경로당,진주시 부평길 320 ,이반성,32,남여혼합
1209,진주시,화광경로당,진주시 사군로758번길 33-22 ,사봉면,26,남여혼합
1210,진주시,하동경로당,진주시 지수면 승산길 40-2 ,이반성,30,남여혼합
1211,진주시,지수경로당,진주시 지수면 지수로 443 ,지수면,42,남여혼합
1212,진주시,승산상동경로당,진주시 지수면 지수로 460 ,지수면,24,남여혼합
1213,진주시,청원경로당,진주시 지수면 청원길 71 ,지수면,74,남여혼합
1214,진주시,신당경로당,진주시 지수면 금평로260번길 4 ,지수면,34,남여혼합
1215,진주시,필동경로당,진주시 지수면 지사로 690번길 4 ,지수면,56,남여혼합
1216,진주시,송정경로당,진주시 지수면 용봉로 173 ,문산읍,71,남여혼합
1217,진주시,송정학구경로당,진주시 지수면 용봉로 208 ,지수면,53,남여혼합
1218,진주시,세곡경로당,진주시 지수면 지사로754번길 110 ,지수면,19,남여혼합
1219,진주시,압현경로당,진주시 지수면 용봉로150번길 134-5 ,지수면,49,남여혼합
1220,진주시,동지경로당,진주시 지수면 용봉로 756-4 ,지수면,22,남여혼합
1221,진주시,안계경로당,진주시 지수면 용봉로912번길 8 ,지수면,25,남여혼합
1222,진주시,용봉경로당,진주시 지수면 용봉로292번길 93 ,지수면,42,남여혼합
1223,진주시,무등경로당,진주시 지수면 청담길175번길 32 ,지수면,42,남여혼합
1224,진주시,청담경로당,진주시 지수면 청담길16번길 4(2층) ,지수면,66,남여혼합
1225,진주시,덕암경로당,진주시 지수면 지수로 595번길 69 ,지수면,35,남여혼합
1226,진주시,대곡면경로당,진주시 대곡면진의로1079번길 14-8 ,대곡면,111,남여혼합
1227,진주시,용암경로당,진주시 대곡면 월암로456번길 30 ,이반성,45,남여혼합
1228,진주시,덕촌경로당,진주시 대곡면 월암로 457 ,문산읍,75,남여혼합
1229,진주시,월암경로당,진주시 대곡면 월암로 352 ,대곡면,57,남여혼합
1230,진주시,상촌경로당,진주시 대곡면 월암로153번길 12 ,내동면,25,남여혼합
1231,진주시,설매경로당,진주시 대곡면 월암로 83 ,대곡면,64,남여혼합
1232,진주시,광석경로당,진주시 대곡면진의로 1180-6 ,대곡면,36,남여혼합
1233,진주시,유곡경로당,진주시 대곡면 유곡로 341 ,대곡면,50,남여혼합
1234,진주시,석포경로당,진주시 대곡면 유곡로 69 ,대곡면,39,남여혼합
1235,진주시,단목경로당,진주시 대곡면 단목길 7 ,대곡면,114,남여혼합
1236,진주시,지내경로당,진주시 대곡면 단목길 66 ,대곡면,42,남여혼합
1237,진주시,신흥경로당,진주시 대곡면 신흥길1번길 7-4 ,대곡면,37,남여혼합
1238,진주시,월아경로당,진주시 대곡면 월아길52번길 2 ,대곡면,64,남여혼합
1239,진주시,봉평경로당,진주시 대곡면진의로964번길 5 ,대곡면,42,남여혼합
1240,진주시,송곡경로당,진주시 대곡면 소실길 219 ,금곡면,44,남여혼합
1241,진주시,유동경로당,진주시 대곡면 대화로105번길 93 ,내동면,38,남여혼합
1242,진주시,가정경로당,진주시 대곡면진의로864번길 3 ,대곡면,38,남여혼합
1243,진주시,중촌경로당,진주시 대곡면진의로 738 ,이반성,36,남여혼합
1244,진주시,오곡경로당,진주시 대곡면진의로 650 ,대곡면,34,남여혼합
1245,진주시,덕곡경로당,진주시 대곡면 덕곡길 147 ,대곡면,57,남여혼합
1246,진주시,마호경로당,진주시 대곡면 마진한실로 209 ,대곡면,47,남여혼합
1247,진주시,마진경로당,진주시 대곡면 마한로257번길 24 ,대곡면,38,남여혼합
1248,진주시,한실경로당,진주시 대곡면 마진한실로 597 ,대곡면,81,남여혼합
1249,진주시,북창경로당,진주시 대곡면 광석리 325-1 ,대곡면,91,남여혼합
1250,진주시,금산경로당,진주시 금산면 중천로7번길 17 ,금산면,227,남여혼합
1251,진주시,남성경로당,진주시 금산면 금산순환로311번길 9 ,금산면,95,남여혼합
1252,진주시,석교경로당,진주시 금산면 금산순환로 168-2 ,금산면,29,남여혼합
1253,진주시,관방경로당,진주시 금산면 금산순환로402번길 18 ,금산면,85,남여혼합
1254,진주시,용심경로당,진주시 금산면 금산로 250 ,금산면,89,남여혼합
1255,진주시,월아경로당,진주시 금산면 달음산로53번길 36 ,대곡면,64,남여혼합
1256,진주시,갈전경로당,진주시 금산면 갈전길 81 ,금산면,31,남여혼합
1257,진주시,조동경로당,진주시 금산면 갈전길 50 ,금산면,67,남여혼합
1258,진주시,속사경로당,진주시 금산면 속사길 88 ,금산면,88,남여혼합
1259,진주시,송백경로당,진주시 금산면 송백로 330 ,금산면,69,남여혼합
1260,진주시,구암경로당,진주시 금산면 월아산로1929번길 26 ,금산면,54,남여혼합
1261,진주시,청천경로당,진주시 금산면 청천길 14 ,금산면,44,남여혼합
1262,진주시,중천경로당,진주시 금산면 금산로57번길 7 ,금산면,68,남여혼합
1263,진주시,금호경로당,진주시 금산면 금산로 130( 금호맨션 1동 108호) ,금산면,33,남여혼합
1264,진주시,상의경로당,진주시 금산면 상의길 46 ,금산면,37,남여혼합
1265,진주시,덕의경로당,진주시 금산면 덕의길 117 ,금산면,79,남여혼합
1266,진주시,덕정경로당,진주시 금산면 금산순환로 109 ,금산면,49,남여혼합
1267,진주시,현지경로당,진주시 금산면 금산순환로76번길 1 ,금산면,67,남여혼합
1268,진주시,사동경로당,진주시 금산면 금산순환로 549 ,사봉면,13,남여혼합
1269,진주시,흥한골든빌A경로당,"진주시 금산면 금산로 123, 3층(금산흥한골든빌) ",금산면,75,남여혼합
1270,진주시,느티나무경로당,"진주시 금산면 중천로 74,2층(느티나무A) ",금산면,38,남여혼합
1271,진주시,금산아이파크경로당,진주시 금산면 중천로 82(금산아이파크A) ,금산면,38,남여혼합
1272,진주시,진주푸르지오1단지경로당,진주시 금산면 덕의길 15(진주푸르지오1단지A) ,금산면,22,남여혼합
1273,진주시,진주푸르지오2단지경로당,진주시 금산면 덕의길 11-1(진주푸르지오2단지A) ,금산면,16,남여혼합
1274,진주시,e-편한세상경로당,진주시 금산면 금산순환로80번길 16(e편한세상A) ,금산면,18,남여혼합
